Date,Daily_Rainfall_mm,5ML_LightRainfall_IrrigationChannel,10ML_LightRainfall_IrrigationChannel,20ML_LightRainfall_IrrigationChannel,5ML_ModerateRainfall_IrrigationChannel,10ML_ModerateRainfall_IrrigationChannel,20ML_ModerateRainfall_IrrigationChannel,5ML_HeavyRainfall_IrrigationChannel,10ML_HeavyRainfall_IrrigationChannel,20ML_HeavyRainfall_IrrigationChannel,5ML_LightRainfall_PfluxFarm,10ML_LightRainfall_PfluxFarm,20ML_LightRainfall_PfluxFarm,5ML_ModerateRainfall_PfluxFarm,10ML_ModerateRainfall_PfluxFarm,20ML_ModerateRainfall_PfluxFarm,5ML_HeavyRainfall_PfluxFarm,10ML_HeavyRainfall_PfluxFarm,20ML_HeavyRainfall_PfluxFarm,5ML_LightRainfall_OverflowPlux,10ML_LightRainfall_OverflowPlux,20ML_LightRainfall_OverflowPlux,5ML_ModerateRainfall_OverflowPlux,10ML_ModerateRainfall_OverflowPlux,20ML_ModerateRainfall_OverflowPlux,5ML_HeavyRainfall_OverflowPlux,10ML_HeavyRainfall_OverflowPlux,20ML_HeavyRainfall_OverflowPlux,5ML_LightRainfall_StorageVolume,10ML_LightRainfall_StorageVolume,20ML_LightRainfall_StorageVolume,5ML_ModerateRainfall_StorageVolume,10ML_ModerateRainfall_StorageVolume,20ML_ModerateRainfall_StorageVolume,5ML_HeavyRainfall_StorageVolume,10ML_HeavyRainfall_StorageVolume,20ML_HeavyRainfall_StorageVolume,5ML_LightRainfall_PfluxFarm_acc,10ML_LightRainfall_PfluxFarm_acc,20ML_LightRainfall_PfluxFarm_acc,5ML_ModerateRainfall_PfluxFarm_acc,10ML_ModerateRainfall_PfluxFarm_acc,20ML_ModerateRainfall_PfluxFarm_acc,5ML_HeavyRainfall_PfluxFarm_acc,10ML_HeavyRainfall_PfluxFarm_acc,20ML_HeavyRainfall_PfluxFarm_acc,5ML_LightRainfall_OverflowPlux_acc,10ML_LightRainfall_OverflowPlux_acc,20ML_LightRainfall_OverflowPlux_acc,5ML_ModerateRainfall_OverflowPlux_acc,10ML_ModerateRainfall_OverflowPlux_acc,20ML_ModerateRainfall_OverflowPlux_acc,5ML_HeavyRainfall_OverflowPlux_acc,10ML_HeavyRainfall_OverflowPlux_acc,20ML_HeavyRainfall_OverflowPlux_acc,5ML_LightRainfall_TPFarm,10ML_LightRainfall_TPFarm,20ML_LightRainfall_TPFarm,5ML_ModerateRainfall_TPFarm,10ML_ModerateRainfall_TPFarm,20ML_ModerateRainfall_TPFarm,5ML_HeavyRainfall_TPFarm,10ML_HeavyRainfall_TPFarm,20ML_HeavyRainfall_TPFarm,5ML_LightRainfall_ReuseSystemFill,10ML_LightRainfall_ReuseSystemFill,20ML_LightRainfall_ReuseSystemFill,5ML_ModerateRainfall_ReuseSystemFill,10ML_ModerateRainfall_ReuseSystemFill,20ML_ModerateRainfall_ReuseSystemFill,5ML_HeavyRainfall_ReuseSystemFill,10ML_HeavyRainfall_ReuseSystemFill,20ML_HeavyRainfall_ReuseSystemFill,5ML_LightRainfall_OverflowPlux_acc,10ML_LightRainfall_OverflowPlux_acc,20ML_LightRainfall_OverflowPlux_acc,5ML_ModerateRainfall_OverflowPlux_acc,10ML_ModerateRainfall_OverflowPlux_acc,20ML_ModerateRainfall_OverflowPlux_acc,5ML_HeavyRainfall_OverflowPlux_acc,10ML_HeavyRainfall_OverflowPlux_acc,20ML_HeavyRainfall_OverflowPlux_acc,5ML_LightRainfall_OverflowPluxPercentSmall,10ML_LightRainfall_OverflowPluxPercentSmall,20ML_LightRainfall_OverflowPluxPercentSmall,5ML_ModerateRainfall_OverflowPluxPercentSmall,10ML_ModerateRainfall_OverflowPluxPercentSmall,20ML_ModerateRainfall_OverflowPluxPercentSmall,5ML_HeavyRainfall_OverflowPluxPercentSmall,10ML_HeavyRainfall_OverflowPluxPercentSmall,20ML_HeavyRainfall_OverflowPluxPercentSmall,5ML_LightRainfall_PfluxFarm_acc,10ML_LightRainfall_PfluxFarm_acc,20ML_LightRainfall_PfluxFarm_acc,5ML_ModerateRainfall_PfluxFarm_acc,10ML_ModerateRainfall_PfluxFarm_acc,20ML_ModerateRainfall_PfluxFarm_acc,5ML_HeavyRainfall_PfluxFarm_acc,10ML_HeavyRainfall_PfluxFarm_acc,20ML_HeavyRainfall_PfluxFarm_acc,5ML_LightRainfall_PfluxFarmPercentSmall,10ML_LightRainfall_PfluxFarmPercentSmall,20ML_LightRainfall_PfluxFarmPercentSmall,5ML_ModerateRainfall_PfluxFarmPercentSmall,10ML_ModerateRainfall_PfluxFarmPercentSmall,20ML_ModerateRainfall_PfluxFarmPercentSmall,5ML_HeavyRainfall_PfluxFarmPercentSmall,10ML_HeavyRainfall_PfluxFarmPercentSmall,20ML_HeavyRainfall_PfluxFarmPercentSmall
4/05/2022,0,0.02,0.02,0.02,1.08,1.08,1.08,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,55,6,52,39,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600215924,0.600215924,0.600215924,0.38819784,0.38819784,0.38819784,0.00968969,0.00968969,0.00968969,99,45,2,86,32,1,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,1,1,1,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100
5/05/2022,6.3,0.02,0.02,0.02,1.24,1.24,1.24,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,48,4,48,30,1,18,18,18,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519138528,0.519138528,0.519138528,0.335759928,0.335759928,0.335759928,0.008380803,0.008380803,0.008380803,97,40,2,80,25,1,31,15,8,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,2,2,2,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100
6/05/2022,0.2,0.03,0.03,0.03,1.34,1.34,1.34,0,0,0,27,7,7,0,0,0,4587,3884,2625,13,0,0,0,0,0,2700,2109,1099,60,55,17,45,22,2,60,120,240,29,9,9,1,1,1,4587,3884,2625,12.68,0,0,0,0,0,2700,2109,1099,1.604197284,1.082130353,1.082130353,0.290405349,0.290405349,0.290405349,7.701567323,7.319872617,6.493757852,100,46,7,74,18,1,100,100,100,13,0,0,0,0,0,2700,2109,1099,100,0,0,100,100,100,100,78,41,29,9,9,1,1,1,4587,3884,2625,100,32,32,100,100,100,100,85,57
7/05/2022,0,0.13,0.13,0.13,1.28,1.28,1.28,0,0,0,1,1,1,13,11,11,5052,4995,4882,0,0,0,0,0,0,3071,3022,2925,59,49,6,60,33,22,60,120,240,30,10,10,13,11,11,9640,8879,7507,12.68,0,0,0.49,0,0,5771,5131,4024,0.593496024,0.593496024,0.593496024,1.268395506,1.207659555,1.207659555,7.932228234,7.904757233,7.849426861,99,41,3,100,28,9,100,100,100,13,0,0,0,0,0,5771,5131,4024,100,0,0,100,0,0,100,89,70,30,10,10,13,11,11,9640,8879,7507,100,34,34,100,86,86,100,92,78
8/05/2022,0.9,0.19,0.19,0.19,1.15,1.15,1.15,0,0,0,1,1,1,7,3,3,1794,1753,1670,0,0,0,3,0,0,1090,1054,984,57,43,4,60,32,10,60,120,240,30,11,11,20,14,14,11434,10632,9177,12.68,0,0,3,0,0,6861,6186,5008,0.513326355,0.513326355,0.513326355,1.054201299,0.778072754,0.778072754,5.781021129,5.73983113,5.656256356,96,35,2,100,26,4,100,100,100,13,0,0,3,0,0,6861,6186,5008,100,0,0,100,0,0,100,90,73,30,11,11,20,14,14,11434,10632,9177,100,36,36,100,69,69,100,93,80
9/05/2022,0,0.03,0.03,0.03,0.76,0.76,0.76,0,0,0,0,0,0,14,4,4,1106,1070,999,0,0,0,7,0,0,669,638,579,55,35,3,60,33,13,60,120,240,31,11,11,34,17,17,12539,11702,10176,12.68,0,0,10.08,0,0,7530,6824,5586,0.443986036,0.443986036,0.443986036,1.322997283,0.872770882,0.872770882,4.986218764,4.936401601,4.834732945,91,29,1,100,28,5,100,100,100,13,0,0,10,0,0,7530,6824,5586,100,0,0,100,0,0,100,91,74,31,11,11,34,17,17,12539,11702,10176,100,37,37,100,51,51,100,93,81
10/05/2022,0,0.02,0.02,0.02,0.55,0.55,0.55,0,0,0,0,0,0,116,23,23,679,648,588,0,0,0,66,0,0,409,382,332,51,26,2,60,60,38,60,120,240,31,12,12,150,40,40,13218,12350,10765,12.68,0,0,75.95,0,0,7939,7206,5918,0.384012233,0.384012233,0.384012233,2.501664122,1.523012039,1.523012039,4.295892508,4.235509105,4.111242305,86,22,1,100,50,16,100,100,100,13,0,0,76,0,0,7939,7206,5918,100,0,0,100,0,0,100,91,75,31,12,12,150,40,40,13218,12350,10765,100,37,37,100,27,27,100,93,81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5ML_LightRainfall_PfluxFarm_acc,10ML_LightRainfall_PfluxFarm_acc,20ML_LightRainfall_PfluxFarm_acc,5ML_ModerateRainfall_PfluxFarm_acc,10ML_ModerateRainfall_PfluxFarm_acc,20ML_ModerateRainfall_PfluxFarm_acc,5ML_HeavyRainfall_PfluxFarm_acc,10ML_HeavyRainfall_PfluxFarm_acc,20ML_HeavyRainfall_PfluxFarm_acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,2,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,29,9,9,1,1,1,4587,3884,2625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,30,10,10,13,11,11,9640,8879,7507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,30,11,11,20,14,14,11434,10632,9177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,31,11,11,34,17,17,12539,11702,10176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,31,12,12,150,40,40,13218,12350,10765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5ML_LightRainfall_PfluxFarmPercentSmall,10ML_LightRainfall_PfluxFarmPercentSmall,20ML_LightRainfall_PfluxFarmPercentSmall,5ML_ModerateRainfall_PfluxFarmPercentSmall,10ML_ModerateRainfall_PfluxFarmPercentSmall,20ML_ModerateRainfall_PfluxFarmPercentSmall,5ML_HeavyRainfall_PfluxFarmPercentSmall,10ML_HeavyRainfall_PfluxFarmPercentSmall,20ML_HeavyRainfall_PfluxFarmPercentSmall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,100,32,32,100,100,100,100,85,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,100,34,34,100,86,86,100,92,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,100,36,36,100,69,69,100,93,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,100,37,37,100,51,51,100,93,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,100,37,37,100,27,27,100,93,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
